Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,DateTime
1/2/2007,0:32:00,0.226,0.000,243.14,1.0,0,0,0,2/1/2007 0:32
1/2/2007,0:33:00,0.226,0.000,243.12,1.0,0,0,0,2/1/2007 0:33
1/2/2007,0:34:00,0.322,0.094,242.74,1.4,0,0,0,2/1/2007 0:34
1/2/2007,0:35:00,0.336,0.126,242.59,1.4,0,0,0,2/1/2007 0:35
1/2/2007,0:36:00,0.332,0.126,242.91,1.4,0,0,0,2/1/2007 0:36
1/2/2007,0:37:00,0.332,0.130,243.51,1.4,0,0,0,2/1/2007 0:37
1/2/2007,0:38:00,0.330,0.130,243.65,1.4,0,0,0,2/1/2007 0:38
1/2/2007,0:39:00,0.328,0.128,243.37,1.4,0,0,0,2/1/2007 0:39
1/2/2007,0:40:00,0.328,0.130,243.79,1.4,0,0,0,2/1/2007 0:40
1/2/2007,0:41:00,0.326,0.128,243.23,1.4,0,0,0,2/1/2007 0:41
1/2/2007,0:42:00,0.324,0.126,242.98,1.4,0,0,0,2/1/2007 0:42
1/2/2007,0:43:00,0.322,0.126,242.95,1.4,0,0,0,2/1/2007 0:43
1/2/2007,0:44:00,0.322,0.124,242.60,1.4,0,0,0,2/1/2007 0:44
1/2/2007,0:45:00,0.322,0.128,243.33,1.4,0,0,0,2/1/2007 0:45
1/2/2007,0:46:00,0.318,0.118,241.32,1.4,0,0,0,2/1/2007 0:46
1/2/2007,0:47:00,0.316,0.116,240.93,1.4,0,0,0,2/1/2007 0:47
1/2/2007,0:48:00,0.316,0.116,240.93,1.4,0,0,0,2/1/2007 0:48
1/2/2007,0:49:00,0.274,0.058,240.36,1.2,0,0,0,2/1/2007 0:49
1/2/2007,0:50:00,0.222,0.000,240.93,1.0,0,0,0,2/1/2007 0:50
1/2/2007,0:51:00,0.222,0.000,240.83,1.0,0,0,0,2/1/2007 0:51
1/2/2007,0:52:00,0.222,0.000,240.52,1.0,0,0,0,2/1/2007 0:52
1/2/2007,0:53:00,0.224,0.000,241.45,1.0,0,0,0,2/1/2007 0:53
1/2/2007,0:54:00,0.224,0.000,241.59,1.0,0,0,0,2/1/2007 0:54
1/2/2007,0:55:00,0.226,0.000,242.55,1.0,0,0,0,2/1/2007 0:55
1/2/2007,0:56:00,0.226,0.000,242.88,1.0,0,0,0,2/1/2007 0:56
1/2/2007,0:57:00,0.226,0.000,242.63,1.0,0,0,0,2/1/2007 0:57
1/2/2007,0:58:00,0.224,0.000,242.20,1.0,0,0,0,2/1/2007 0:58
1/2/2007,0:59:00,0.224,0.000,241.84,1.0,0,0,0,2/1/2007 0:59
1/2/2007,1:00:00,0.222,0.000,240.89,1.0,0,0,0,2/1/2007 1:00
1/2/2007,1:01:00,0.222,0.000,240.86,1.0,0,0,0,2/1/2007 1:01
1/2/2007,1:02:00,0.260,0.000,240.64,1.2,0,0,0,2/1/2007 1:02
1/2/2007,1:03:00,0.298,0.088,240.72,1.2,0,0,0,2/1/2007 1:03
1/2/2007,1:04:00,0.302,0.094,242.18,1.2,0,0,0,2/1/2007 1:04
1/2/2007,1:05:00,0.302,0.096,242.66,1.2,0,0,0,2/1/2007 1:05
1/2/2007,1:06:00,0.302,0.096,242.77,1.2,0,0,0,2/1/2007 1:06
1/2/2007,1:07:00,0.300,0.096,242.60,1.2,0,0,0,2/1/2007 1:07
1/2/2007,1:08:00,0.298,0.094,242.38,1.2,0,0,0,2/1/2007 1:08
1/2/2007,1:09:00,0.298,0.094,242.21,1.2,0,0,0,2/1/2007 1:09
1/2/2007,1:10:00,0.296,0.096,242.61,1.2,0,0,0,2/1/2007 1:10
1/2/2007,1:11:00,0.296,0.094,242.24,1.2,0,0,0,2/1/2007 1:11
1/2/2007,1:12:00,0.258,0.000,242.66,1.0,0,0,0,2/1/2007 1:12
1/2/2007,1:13:00,0.226,0.000,242.99,1.0,0,0,0,2/1/2007 1:13
1/2/2007,1:14:00,0.228,0.000,243.53,1.0,0,0,0,2/1/2007 1:14
1/2/2007,1:15:00,0.316,0.088,243.12,1.4,0,0,0,2/1/2007 1:15
1/2/2007,1:16:00,0.434,0.252,242.83,2.2,0,0,0,2/1/2007 1:16
1/2/2007,1:17:00,0.418,0.254,243.08,2.0,0,2,0,2/1/2007 1:17
1/2/2007,1:18:00,0.414,0.254,243.35,2.0,0,1,0,2/1/2007 1:18
1/2/2007,1:19:00,0.412,0.252,242.71,2.0,0,1,0,2/1/2007 1:19
1/2/2007,1:20:00,0.410,0.246,241.63,2.0,0,2,0,2/1/2007 1:20
1/2/2007,1:21:00,0.408,0.246,241.86,2.0,0,1,0,2/1/2007 1:21
1/2/2007,1:22:00,0.408,0.248,242.17,2.0,0,2,0,2/1/2007 1:22
1/2/2007,1:23:00,0.404,0.244,241.70,2.0,0,1,0,2/1/2007 1:23
1/2/2007,1:24:00,0.402,0.242,241.14,1.8,0,1,0,2/1/2007 1:24
1/2/2007,1:25:00,0.402,0.244,241.41,1.8,0,2,0,2/1/2007 1:25
1/2/2007,1:26:00,0.402,0.246,241.95,1.8,0,1,0,2/1/2007 1:26
1/2/2007,1:27:00,0.402,0.248,242.36,1.8,0,2,0,2/1/2007 1:27
1/2/2007,1:28:00,0.402,0.250,242.60,1.8,0,1,0,2/1/2007 1:28
1/2/2007,1:29:00,0.398,0.246,242.11,1.8,0,1,0,2/1/2007 1:29
1/2/2007,1:30:00,0.336,0.156,241.88,1.6,0,2,0,2/1/2007 1:30
1/2/2007,1:31:00,0.300,0.104,240.78,1.2,0,1,0,2/1/2007 1:31
1/2/2007,1:32:00,0.300,0.104,240.68,1.2,0,1,0,2/1/2007 1:32
1/2/2007,1:33:00,0.300,0.106,240.87,1.2,0,2,0,2/1/2007 1:33
1/2/2007,1:34:00,0.298,0.106,241.00,1.2,0,1,0,2/1/2007 1:34
1/2/2007,1:35:00,0.298,0.106,240.97,1.2,0,1,0,2/1/2007 1:35
1/2/2007,1:36:00,0.298,0.106,241.09,1.2,0,1,0,2/1/2007 1:36
1/2/2007,1:37:00,0.298,0.106,241.10,1.2,0,2,0,2/1/2007 1:37
1/2/2007,1:38:00,0.298,0.106,241.21,1.2,0,1,0,2/1/2007 1:38
1/2/2007,1:39:00,0.296,0.106,241.27,1.2,0,1,0,2/1/2007 1:39
1/2/2007,1:40:00,0.296,0.108,241.40,1.2,0,1,0,2/1/2007 1:40
1/2/2007,1:41:00,0.296,0.108,241.61,1.2,0,1,0,2/1/2007 1:41
1/2/2007,1:42:00,0.296,0.106,241.37,1.2,0,2,0,2/1/2007 1:42
1/2/2007,1:43:00,0.294,0.106,240.99,1.2,0,1,0,2/1/2007 1:43
1/2/2007,1:44:00,0.294,0.106,241.27,1.2,0,1,0,2/1/2007 1:44
1/2/2007,1:45:00,0.242,0.000,241.26,1.0,0,0,0,2/1/2007 1:45
1/2/2007,1:46:00,0.224,0.000,241.76,1.0,0,0,0,2/1/2007 1:46
1/2/2007,1:47:00,0.224,0.000,242.38,1.0,0,0,0,2/1/2007 1:47
1/2/2007,1:48:00,0.224,0.000,242.15,1.0,0,0,0,2/1/2007 1:48
1/2/2007,1:49:00,0.288,0.050,241.69,1.4,0,0,0,2/1/2007 1:49
1/2/2007,1:50:00,0.298,0.088,241.02,1.2,0,0,0,2/1/2007 1:50
1/2/2007,1:51:00,0.298,0.088,240.75,1.2,0,0,0,2/1/2007 1:51
1/2/2007,1:52:00,0.298,0.088,241.06,1.2,0,0,0,2/1/2007 1:52
1/2/2007,1:53:00,0.300,0.090,241.57,1.2,0,0,0,2/1/2007 1:53
1/2/2007,1:54:00,0.300,0.094,242.29,1.2,0,0,0,2/1/2007 1:54
1/2/2007,1:55:00,0.300,0.096,242.77,1.2,0,0,0,2/1/2007 1:55
1/2/2007,1:56:00,0.386,0.190,242.48,1.8,0,0,0,2/1/2007 1:56
1/2/2007,1:57:00,0.406,0.228,242.24,1.8,0,0,0,2/1/2007 1:57
1/2/2007,1:58:00,0.398,0.222,242.11,1.8,0,0,0,2/1/2007 1:58
1/2/2007,1:59:00,0.326,0.116,240.55,1.4,0,0,0,2/1/2007 1:59
1/2/2007,2:00:00,0.324,0.116,240.33,1.4,0,0,0,2/1/2007 2:00
1/2/2007,2:01:00,0.328,0.126,242.57,1.4,0,0,0,2/1/2007 2:01
1/2/2007,2:02:00,0.328,0.130,243.12,1.4,0,0,0,2/1/2007 2:02
1/2/2007,2:03:00,0.326,0.128,243.05,1.4,0,0,0,2/1/2007 2:03
1/2/2007,2:04:00,0.324,0.128,243.09,1.4,0,0,0,2/1/2007 2:04
1/2/2007,2:05:00,0.322,0.124,242.07,1.4,0,0,0,2/1/2007 2:05
1/2/2007,2:06:00,0.322,0.124,242.21,1.4,0,0,0,2/1/2007 2:06
1/2/2007,2:07:00,0.322,0.126,242.47,1.4,0,0,0,2/1/2007 2:07
1/2/2007,2:08:00,0.322,0.126,242.57,1.4,0,0,0,2/1/2007 2:08
1/2/2007,2:09:00,0.322,0.128,243.08,1.4,0,0,0,2/1/2007 2:09
1/2/2007,2:10:00,0.322,0.130,243.28,1.4,0,0,0,2/1/2007 2:10
1/2/2007,2:11:00,0.242,0.000,243.52,1.0,0,0,0,2/1/2007 2:11
1/2/2007,2:12:00,0.228,0.000,244.09,1.0,0,0,0,2/1/2007 2:12
1/2/2007,2:13:00,0.228,0.000,244.02,1.0,0,0,0,2/1/2007 2:13
1/2/2007,2:14:00,0.228,0.000,244.02,1.0,0,0,0,2/1/2007 2:14
1/2/2007,2:15:00,0.226,0.000,243.25,1.0,0,0,0,2/1/2007 2:15
1/2/2007,2:16:00,0.226,0.000,243.06,1.0,0,0,0,2/1/2007 2:16
1/2/2007,2:17:00,0.228,0.000,243.38,1.0,0,0,0,2/1/2007 2:17
1/2/2007,2:18:00,0.228,0.000,243.91,1.0,0,0,0,2/1/2007 2:18
1/2/2007,2:19:00,0.228,0.000,243.93,1.0,0,0,0,2/1/2007 2:19
1/2/2007,2:20:00,0.228,0.000,243.55,1.0,0,0,0,2/1/2007 2:20
1/2/2007,2:21:00,0.228,0.000,243.45,1.0,0,0,0,2/1/2007 2:21
1/2/2007,2:22:00,0.226,0.000,242.42,1.0,0,0,0,2/1/2007 2:22
1/2/2007,2:23:00,0.226,0.000,243.14,1.0,0,0,0,2/1/2007 2:23
1/2/2007,2:24:00,0.228,0.000,243.37,1.0,0,0,0,2/1/2007 2:24
1/2/2007,2:25:00,0.228,0.000,243.53,1.0,0,0,0,2/1/2007 2:25
1/2/2007,2:26:00,0.226,0.000,243.22,1.0,0,0,0,2/1/2007 2:26
1/2/2007,2:27:00,0.228,0.000,243.57,1.0,0,0,0,2/1/2007 2:27
1/2/2007,2:28:00,0.228,0.000,243.76,1.0,0,0,0,2/1/2007 2:28
1/2/2007,2:29:00,0.226,0.000,243.36,1.0,0,0,0,2/1/2007 2:29
1/2/2007,2:30:00,0.226,0.000,243.17,1.0,0,0,0,2/1/2007 2:30
1/2/2007,2:31:00,0.228,0.000,243.58,1.0,0,0,0,2/1/2007 2:31
1/2/2007,2:32:00,0.228,0.000,244.10,1.0,0,0,0,2/1/2007 2:32
1/2/2007,2:33:00,0.230,0.000,244.55,1.0,0,0,0,2/1/2007 2:33
1/2/2007,2:34:00,0.230,0.000,244.98,1.0,0,0,0,2/1/2007 2:34
1/2/2007,2:35:00,0.228,0.000,244.36,1.0,0,0,0,2/1/2007 2:35
1/2/2007,2:36:00,0.292,0.060,244.42,1.4,0,0,0,2/1/2007 2:36
1/2/2007,2:37:00,0.388,0.190,243.85,1.8,0,0,0,2/1/2007 2:37
1/2/2007,2:38:00,0.416,0.238,243.83,2.0,0,0,0,2/1/2007 2:38
1/2/2007,2:39:00,0.416,0.244,243.73,2.0,0,0,0,2/1/2007 2:39
1/2/2007,2:40:00,0.436,0.276,244.66,2.0,0,0,0,2/1/2007 2:40
1/2/2007,2:41:00,0.436,0.280,245.02,2.0,0,0,0,2/1/2007 2:41
1/2/2007,2:42:00,0.432,0.280,245.06,2.0,0,0,0,2/1/2007 2:42
1/2/2007,2:43:00,0.426,0.272,244.04,2.0,0,0,0,2/1/2007 2:43
1/2/2007,2:44:00,0.424,0.270,243.58,2.0,0,0,0,2/1/2007 2:44
1/2/2007,2:45:00,0.420,0.268,243.42,2.0,0,0,0,2/1/2007 2:45
1/2/2007,2:46:00,0.350,0.160,243.19,1.6,0,0,0,2/1/2007 2:46
1/2/2007,2:47:00,0.350,0.164,243.90,1.6,0,0,0,2/1/2007 2:47
1/2/2007,2:48:00,0.348,0.162,243.60,1.6,0,0,0,2/1/2007 2:48
1/2/2007,2:49:00,0.346,0.160,243.04,1.6,0,0,0,2/1/2007 2:49
1/2/2007,2:50:00,0.346,0.162,243.44,1.6,0,0,0,2/1/2007 2:50
1/2/2007,2:51:00,0.346,0.162,243.35,1.6,0,0,0,2/1/2007 2:51
1/2/2007,2:52:00,0.256,0.000,243.34,1.0,0,0,0,2/1/2007 2:52
1/2/2007,2:53:00,0.252,0.000,243.21,1.0,0,0,0,2/1/2007 2:53
1/2/2007,2:54:00,0.252,0.000,242.96,1.0,0,0,0,2/1/2007 2:54
1/2/2007,2:55:00,0.252,0.000,243.33,1.0,0,0,0,2/1/2007 2:55
1/2/2007,2:56:00,0.252,0.000,243.16,1.0,0,0,0,2/1/2007 2:56
1/2/2007,2:57:00,0.250,0.000,242.77,1.0,0,0,0,2/1/2007 2:57
1/2/2007,2:58:00,0.252,0.000,243.36,1.0,0,0,0,2/1/2007 2:58
1/2/2007,2:59:00,0.252,0.000,243.38,1.0,0,0,0,2/1/2007 2:59
1/2/2007,3:00:00,0.252,0.000,243.50,1.0,0,0,0,2/1/2007 3:00
1/2/2007,3:01:00,0.252,0.000,243.57,1.0,0,0,0,2/1/2007 3:01
1/2/2007,3:02:00,0.254,0.000,244.24,1.0,0,0,0,2/1/2007 3:02
1/2/2007,3:03:00,0.254,0.000,244.22,1.0,0,0,0,2/1/2007 3:03
1/2/2007,3:04:00,0.254,0.000,243.99,1.0,0,0,0,2/1/2007 3:04
1/2/2007,3:05:00,0.252,0.000,243.44,1.0,0,0,0,2/1/2007 3:05
1/2/2007,3:06:00,0.252,0.000,243.40,1.0,0,0,0,2/1/2007 3:06
1/2/2007,3:07:00,0.252,0.000,243.49,1.0,0,0,0,2/1/2007 3:07
1/2/2007,3:08:00,0.252,0.000,243.55,1.0,0,0,0,2/1/2007 3:08
1/2/2007,3:09:00,0.252,0.000,243.19,1.0,0,0,0,2/1/2007 3:09
1/2/2007,3:10:00,0.254,0.000,243.74,1.0,0,0,0,2/1/2007 3:10
1/2/2007,3:11:00,0.254,0.000,244.11,1.0,0,0,0,2/1/2007 3:11
1/2/2007,3:12:00,0.250,0.000,242.84,1.0,0,0,0,2/1/2007 3:12
1/2/2007,3:13:00,0.250,0.000,242.81,1.0,0,0,0,2/1/2007 3:13
1/2/2007,3:14:00,0.250,0.000,242.48,1.0,0,0,0,2/1/2007 3:14
1/2/2007,3:15:00,0.250,0.000,242.50,1.0,0,0,0,2/1/2007 3:15
1/2/2007,3:16:00,0.250,0.000,242.76,1.0,0,0,0,2/1/2007 3:16
1/2/2007,3:17:00,0.250,0.000,242.92,1.0,0,0,0,2/1/2007 3:17
1/2/2007,3:18:00,0.368,0.150,242.49,1.6,0,0,0,2/1/2007 3:18
1/2/2007,3:19:00,0.360,0.158,242.86,1.6,0,0,0,2/1/2007 3:19
1/2/2007,3:20:00,0.358,0.162,243.33,1.6,0,0,0,2/1/2007 3:20
1/2/2007,3:21:00,0.358,0.162,243.53,1.6,0,0,0,2/1/2007 3:21
1/2/2007,3:22:00,0.356,0.162,243.44,1.6,0,0,0,2/1/2007 3:22
1/2/2007,3:23:00,0.386,0.184,243.53,1.8,0,0,0,2/1/2007 3:23
1/2/2007,3:24:00,0.406,0.234,243.00,1.8,0,0,0,2/1/2007 3:24
1/2/2007,3:25:00,0.404,0.238,243.80,1.8,0,0,0,2/1/2007 3:25
1/2/2007,3:26:00,0.402,0.236,243.50,1.8,0,0,0,2/1/2007 3:26
1/2/2007,3:27:00,0.400,0.234,243.13,1.8,0,0,0,2/1/2007 3:27
1/2/2007,3:28:00,0.400,0.234,243.34,1.8,0,0,0,2/1/2007 3:28
1/2/2007,3:29:00,0.398,0.236,243.51,1.8,0,0,0,2/1/2007 3:29
1/2/2007,3:30:00,0.396,0.238,243.86,1.8,0,0,0,2/1/2007 3:30
1/2/2007,3:31:00,0.392,0.234,243.03,1.8,0,0,0,2/1/2007 3:31
1/2/2007,3:32:00,0.346,0.166,242.99,1.6,0,0,0,2/1/2007 3:32
1/2/2007,3:33:00,0.258,0.000,243.12,1.0,0,0,0,2/1/2007 3:33
1/2/2007,3:34:00,0.224,0.000,242.06,1.0,0,0,0,2/1/2007 3:34
1/2/2007,3:35:00,0.224,0.000,241.77,1.0,0,0,0,2/1/2007 3:35
1/2/2007,3:36:00,0.226,0.000,242.34,1.0,0,0,0,2/1/2007 3:36
1/2/2007,3:37:00,0.228,0.000,243.26,1.0,0,0,0,2/1/2007 3:37
1/2/2007,3:38:00,0.228,0.000,243.71,1.0,0,0,0,2/1/2007 3:38
1/2/2007,3:39:00,0.230,0.000,244.83,1.0,0,0,0,2/1/2007 3:39
1/2/2007,3:40:00,0.230,0.000,244.69,1.0,0,0,0,2/1/2007 3:40
1/2/2007,3:41:00,0.230,0.000,244.55,1.0,0,0,0,2/1/2007 3:41
1/2/2007,3:42:00,0.230,0.000,244.38,1.0,0,0,0,2/1/2007 3:42
1/2/2007,3:43:00,0.230,0.000,244.40,1.0,0,0,0,2/1/2007 3:43
1/2/2007,3:44:00,0.228,0.000,244.16,1.0,0,0,0,2/1/2007 3:44
1/2/2007,3:45:00,0.268,0.000,244.21,1.4,0,0,0,2/1/2007 3:45
1/2/2007,3:46:00,0.312,0.120,244.13,1.4,0,1,0,2/1/2007 3:46
1/2/2007,3:47:00,0.312,0.120,244.22,1.4,0,1,0,2/1/2007 3:47
1/2/2007,3:48:00,0.312,0.118,243.96,1.4,0,2,0,2/1/2007 3:48
1/2/2007,3:49:00,0.312,0.116,243.48,1.4,0,1,0,2/1/2007 3:49
1/2/2007,3:50:00,0.312,0.118,243.84,1.4,0,2,0,2/1/2007 3:50
1/2/2007,3:51:00,0.314,0.120,243.92,1.4,0,1,0,2/1/2007 3:51
1/2/2007,3:52:00,0.314,0.122,244.50,1.4,0,1,0,2/1/2007 3:52
1/2/2007,3:53:00,0.314,0.122,244.60,1.4,0,2,0,2/1/2007 3:53
1/2/2007,3:54:00,0.314,0.122,244.56,1.4,0,1,0,2/1/2007 3:54
1/2/2007,3:55:00,0.312,0.120,243.91,1.4,0,2,0,2/1/2007 3:55
1/2/2007,3:56:00,0.310,0.116,243.55,1.4,0,1,0,2/1/2007 3:56
1/2/2007,3:57:00,0.310,0.116,243.58,1.4,0,1,0,2/1/2007 3:57
1/2/2007,3:58:00,0.308,0.112,242.74,1.4,0,2,0,2/1/2007 3:58
1/2/2007,3:59:00,0.412,0.228,242.72,2.0,0,1,0,2/1/2007 3:59
1/2/2007,4:00:00,0.416,0.250,242.71,2.0,0,1,0,2/1/2007 4:00
1/2/2007,4:01:00,0.410,0.248,242.32,2.0,0,2,0,2/1/2007 4:01
1/2/2007,4:02:00,0.408,0.248,242.36,2.0,0,1,0,2/1/2007 4:02
1/2/2007,4:03:00,0.406,0.246,242.12,2.0,0,1,0,2/1/2007 4:03
1/2/2007,4:04:00,0.404,0.248,242.18,2.0,0,2,0,2/1/2007 4:04
1/2/2007,4:05:00,0.402,0.248,242.22,1.8,0,1,0,2/1/2007 4:05
1/2/2007,4:06:00,0.400,0.246,241.98,1.8,0,1,0,2/1/2007 4:06
1/2/2007,4:07:00,0.398,0.246,242.09,1.8,0,1,0,2/1/2007 4:07
1/2/2007,4:08:00,0.396,0.246,241.92,1.8,0,1,0,2/1/2007 4:08
1/2/2007,4:09:00,0.396,0.250,242.61,1.8,0,2,0,2/1/2007 4:09
1/2/2007,4:10:00,0.396,0.252,242.99,1.8,0,1,0,2/1/2007 4:10
1/2/2007,4:11:00,0.432,0.280,243.06,2.2,0,1,0,2/1/2007 4:11
1/2/2007,4:12:00,0.470,0.358,242.94,2.4,0,1,0,2/1/2007 4:12
1/2/2007,4:13:00,0.428,0.296,243.07,2.2,0,2,0,2/1/2007 4:13
1/2/2007,4:14:00,0.348,0.170,242.85,1.6,0,0,0,2/1/2007 4:14
1/2/2007,4:15:00,0.304,0.094,242.73,1.2,0,0,0,2/1/2007 4:15
1/2/2007,4:16:00,0.302,0.094,242.65,1.2,0,0,0,2/1/2007 4:16
1/2/2007,4:17:00,0.302,0.096,243.08,1.2,0,0,0,2/1/2007 4:17
1/2/2007,4:18:00,0.300,0.100,243.60,1.2,0,0,0,2/1/2007 4:18
1/2/2007,4:19:00,0.298,0.096,243.05,1.2,0,0,0,2/1/2007 4:19
1/2/2007,4:20:00,0.292,0.086,243.38,1.2,0,0,0,2/1/2007 4:20
1/2/2007,4:21:00,0.228,0.000,243.82,1.0,0,0,0,2/1/2007 4:21
1/2/2007,4:22:00,0.228,0.000,243.73,1.0,0,0,0,2/1/2007 4:22
1/2/2007,4:23:00,0.230,0.000,244.26,1.0,0,0,0,2/1/2007 4:23
1/2/2007,4:24:00,0.230,0.000,244.98,1.0,0,0,0,2/1/2007 4:24
1/2/2007,4:25:00,0.230,0.000,244.95,1.0,0,0,0,2/1/2007 4:25
1/2/2007,4:26:00,0.234,0.000,244.30,1.0,0,0,0,2/1/2007 4:26
1/2/2007,4:27:00,0.250,0.000,243.73,1.0,0,0,0,2/1/2007 4:27
1/2/2007,4:28:00,0.250,0.000,243.23,1.0,0,0,0,2/1/2007 4:28
1/2/2007,4:29:00,0.226,0.000,242.83,1.0,0,0,0,2/1/2007 4:29
1/2/2007,4:30:00,0.226,0.000,242.75,1.0,0,0,0,2/1/2007 4:30
1/2/2007,4:31:00,0.226,0.000,243.00,1.0,0,0,0,2/1/2007 4:31
1/2/2007,4:32:00,0.228,0.000,243.30,1.0,0,0,0,2/1/2007 4:32
1/2/2007,4:33:00,0.228,0.000,243.40,1.0,0,0,0,2/1/2007 4:33
1/2/2007,4:34:00,0.226,0.000,242.69,1.0,0,0,0,2/1/2007 4:34
1/2/2007,4:35:00,0.226,0.000,242.31,1.0,0,0,0,2/1/2007 4:35
1/2/2007,4:36:00,0.224,0.000,242.16,1.0,0,0,0,2/1/2007 4:36
1/2/2007,4:37:00,0.224,0.000,242.13,1.0,0,0,0,2/1/2007 4:37
1/2/2007,4:38:00,0.224,0.000,242.02,1.0,0,0,0,2/1/2007 4:38
1/2/2007,4:39:00,0.226,0.000,242.49,1.0,0,0,0,2/1/2007 4:39
1/2/2007,4:40:00,0.320,0.090,243.16,1.4,0,0,0,2/1/2007 4:40
1/2/2007,4:41:00,0.338,0.128,243.11,1.4,0,0,0,2/1/2007 4:41
1/2/2007,4:42:00,0.332,0.122,242.15,1.4,0,0,0,2/1/2007 4:42
1/2/2007,4:43:00,0.330,0.124,242.26,1.4,0,0,0,2/1/2007 4:43
1/2/2007,4:44:00,0.328,0.124,242.18,1.4,0,0,0,2/1/2007 4:44
1/2/2007,4:45:00,0.326,0.122,242.01,1.4,0,0,0,2/1/2007 4:45
1/2/2007,4:46:00,0.326,0.122,242.01,1.4,0,0,0,2/1/2007 4:46
1/2/2007,4:47:00,0.324,0.120,241.67,1.4,0,0,0,2/1/2007 4:47
1/2/2007,4:48:00,0.322,0.120,241.50,1.4,0,0,0,2/1/2007 4:48
1/2/2007,4:49:00,0.320,0.120,241.37,1.4,0,0,0,2/1/2007 4:49
1/2/2007,4:50:00,0.320,0.122,241.78,1.4,0,0,0,2/1/2007 4:50
1/2/2007,4:51:00,0.320,0.124,242.27,1.4,0,0,0,2/1/2007 4:51
1/2/2007,4:52:00,0.320,0.120,241.88,1.4,0,0,0,2/1/2007 4:52
1/2/2007,4:53:00,0.318,0.120,241.81,1.4,0,0,0,2/1/2007 4:53
1/2/2007,4:54:00,0.270,0.052,241.92,1.2,0,0,0,2/1/2007 4:54
1/2/2007,4:55:00,0.224,0.000,241.68,1.0,0,0,0,2/1/2007 4:55
1/2/2007,4:56:00,0.224,0.000,241.38,1.0,0,0,0,2/1/2007 4:56
1/2/2007,4:57:00,0.222,0.000,240.58,1.0,0,0,0,2/1/2007 4:57
1/2/2007,4:58:00,0.222,0.000,240.81,1.0,0,0,0,2/1/2007 4:58
1/2/2007,4:59:00,0.288,0.048,241.04,1.4,0,0,0,2/1/2007 4:59
1/2/2007,5:00:00,0.300,0.090,241.54,1.2,0,0,0,2/1/2007 5:00
